sentence,char_count
"chhena pjakete gave,  private ponno jodi evabe dej 😡😡",52
thank you 🙏,11
dam onujai thik ace। kpor lil bit patla।,39
price onujai kaper quality valoi r shobguloi prfct cilo all nite paren dlvry & khub taatai pee went dhonnobad darajke,119
price onujai kaper standard valoi ebong all of them prfct cilo sobai niye paren dlvry o kub taatai pee gechi thx darajke,119
ekdom bekar prod.. pic te ja dekhay actual e tar sathe kono mil nei 😤 total fraud seller.. avoid korun,102
"khb sundor hoice, amar kub pochondo hoyeche, prdt gulo khb bhal silo, apnera & nite paren",90
alhamdulillah jemnta chejechhi thik temni peyechi।onk shundor onk valo ।apnra jara nite chan sobai niye paren । drz ke countless tnx ।ato sundor productTa deoar jnno ।seilar bro r bebahar vlo silo। thx,207
bhai product ta hate peyei bujhlam dhoka khechi.. quality zero.. daam onujai ekdom e valo nah.. waste of money 💸,112
product bhalo ase bhlo dlv man r bebahar ❤️❤️,54
alhamdulillah valo peechi,26
"kaporguler quality maan shomporkhe kono kichu bolar expectation keeps nah,shotti awesome,durdanto।slr vai very much valo,ordarer pr vaier with word blechhi bhai talk rekhechhe,,allah their sha hon।।amin।।",181
"kaper quality bhal daam according to to buy paro।
amar 1 piece sete kom cilo but slr onj ar ek ti jinsh with diechhe।
aamar mneh delivarir fee ank besi dekha ja jinsh thke dlvry charge beshi",181
drz r darajer seler vaike countless dhonnobad gt robbare ordr krechi budhbare hand e peyechi sthik smje dlvry dejar jnno apnaderke ank onk shuvechchha rilo।,156
alhdlh prdt hand e peechhi। all of em kalari khb shundor r kap guloo bhalo। eto less price e pee jabo asha kori ni। apnara chaileowo niye paren।,143
alhdlh price onujai onnk bhlo thanks dlv bke onk bhlo vabe deoa j apnara and caile niye paren 😇😇☺️,115
"alhamdulillah ,,,☺🥰 prod khub e chamotkar,, aj hate pelaam, cloth qlt kubi unntmaner,,, khubi spht ,,, regular iujer jnno besh bhlo। mi before 6 pcs nichhilam, aamar kachhe khub bhlo lagchhe tai ekhon again 12 piece nilam। size o tk ace,,, emon chejechhi temni pichi,, ☺ delivery o quickly gave, delivery bro and kub bhalo,, ek kthaj osadharn। caile all nirdbidhaj niye paro। thnks seller ke। dhnjbad drz।🥰☺❤",407
ank sundor cilo r onk aramdajk knt ek ta je shilai mistek😥 silo dhonyobad sunamdhnj prtishthan drz ke dlv man oshongkho thnks shomoy mto dlvry deoar jonno।,167
"alhmdu hand e peyechi।
dekhe mne hocche valoi , colour thiki ase bt kojalitite lil bit shomossha ase ank thread ber hje ace। tobe dam anujaji jthesht valo ace tahle sobai niye paren।",181
"hand e pelam,baite gie khulbo।pkt khule parseler sundrjj dead korte chachchhi na।asha kori unara bhalo prodakti diechhe।",120
alhamdulillah‌ ekdm prfct emon size cheechhi temon saiji peechhi kaptao valooo raph iujer jonno best u all nihsndehe nite paren 6 ta 6 kalarer marjit jinsh shob milie daraz ebong seller onk tnx ank quick delivery peechhi,222
"alhdlh khb valooo hechhe, apni chale niye paren,mane vlo price onujai kub bhalo hechhe, r seller vaike lots dhonnobad",119
"bu blechhe bhalo mane bhal no talk hobe na 🙂 
sathe ekta gadar o gipht diche 🙂
prcl ante gije ei bidal ta paisi 😊😊😊😊🐱🐱🐱",117
this product is good . kalke order korechi ajke hate peyechi. selar er bebohar onek valo.sb miliye thikthak,105
Thanku maam,11
"matr prdt gulo hand e pelaam, alhmdu sob guloi onek valooo cilo ar cloth er maan o onek vlo, dlv bro and valo cilo☺️",126
"onk sundor,  eto kom taka ta vebe vabchhilam hto kap bad hobe bt nah। kap guloo bhlo। tb ekta white rnger dileo vlo hoto🥲",127
"alhdlh onnk bhlo 
seller vaike countless dhonyobad
praivesir karne prodact r phto dilam na",95
mashallah ki blbo onk sundor hoyeche sbaike thjangk iu 🥰🥰🥰 ar ank aramdajk ki blbo ☺️☺️☺️,90
genji qlt valo ace dokan theke 20 bdt kore kom par piece tai nilam chhjta chhj colour paichi,91
ageo nijechhi tobe e sp theke noh। ageo bhaloi pejechhilam। shobgulo kalari pochondo si hoyeche,85
price onujai thiki ace but delivarite onek sm niechhe,54
Thankyou so much,16
"""amader jinish apnar vlo legechhe jene aamra onnk anndit। ur ei muljban mntbj amdr even more bhalo kaj krte utsahit krbe। tnx!""",129
"jemon seen temni peechhi thnks daraz o seller ke 
sbai nite paren valoi ace",76
alhamdulillah product ta hate pailam jemon ta asha krchhilam like that ta paichi,74
"alhdlh prodaktti valooo legechhe ।
seller ke tnx।",57
435 tk nichhe completely worst  .. bajare more bhal maner paoa jabe....,68
ei matr hand e pelam ek kthaj amazing dekhar pala bouke prale kemn lage,68
"price onujai product thik peechhi, dlvry chrg kom hole aro bhlo hto।",64
"dam onujai thik ace,,,  niye paren u all",41
"cotton kaper thin, valoi khrp na।",34
dam as prodaktgulo khub sundor hechhe। kaptao onek sundr☺️,64
nichhilam onek vlo ank bhal prodaktta sobai nile nite hobe,58
dam onujai podakt ta onek  bhalo apnara chaile niye paro 🙂,59
"khub bhlo,chaile ur nite paro",31
motamuti bhlo।niye paro।,25
prodaktgulo kub shundor। r ageo niechhilam now again nilam।,59
alhmdu qlt ank valo caile nite paren,51
dam hishebe avg vlo। raph iujer j thikthak।,49
prodakter pkt khola cilo erkm ago never hjni।,49
"""duhkhit je amader sarviser karne apnake voganti pohate hechhe। onichchhakrit ei vuler jnno aamra kshma prarthi। aapnar order aidi-sh amdr inbkse mesej din, aamra druto smsjati smadhaner bjbstha krchhi।",200
alhamdulillah onk valo,22
Thankyou,8
onek sundr r ago nije chhilam sbai niye paro,46
Valo,4
alhdlh jemon cheyechilam temni pichi ।,46
"sob thik ache 
ek ta chhia paichi

baki all tk ace",44
onek shundor hche।apnara chaile nite paren।,41
"bra gulo bhaloi apura chaile niye paren,,",40
"onek valo  kap, pte aram, best kap",38
same peyeci,11
size ulta palta diche 😒😒😒😒▪️▪️▪️,32
hum vlo ache chaile all nite paren,34
kapde quality & shelai temon bhlo nah,33
"valo dchilo..............,......",32
thik mt peechhi je rkm cheechhi।,28
alhdlh bhal lagchhe,25
kun valo agula baiya tnx,24
product ta vlo chilo 👍,23
kubi sundr aschhe,16
