sentence,character_count,sentiment
"packaging khubi baje!! 5kg er modhye 3kg thik ache. 1kg er 1 packet ektu chhera, anoyta chhera + stapler pin diye atka ache. 1 packet return request pathiyechi 😤",161,0
Very good products dekhte valoi use korar por bujbo bakita,58,1
"Item ta chobi te jemon, real e choto, toy er moto.",50,0
"good product... 
thanks for fast delivery.. 
thank you so much daraz 🥰
thank you so much for everything❤️",105,1
wow nice product just awesome and perfect,41,1
ekdam baje.,11,0
"Nomber one piece and product ❤️❤️❤️
I love to muchs 😊😊",54,1
"Dam hisebe valo, tobe arektu better quality dorkar...",53,1
"Ami Daraz er Gold customer, kintu erokom experience first time.",63,1
Ear phone ta valoi. Bt black color ta paile khusi hoitam,56,1
"ei regulator ta khuboi valo. apnara sabai nite paren. ami babohaar kore dekhecho, service ta valoi hochhe.",106,1
shob thik silo ei bristite bhije jei bhai delivery diye gese unak onk dhonnobad 💙,81,1
nice product.  Dam onujayi khub valo.,37,1
baje product. dui minute pore nosto hoye geche.,47,0
cycling helmet lightweight!! safety feature o valo. recommended,63,1
"Onek wait korlam, pelam ekta chira jinish.",42,0
"vai 1st tai eto valo ekta product dilen r ekhon eto baje ekta product dilen,kaj ta thik koren nai vai",101,1
1 din use krar por vnge gche,28,0
"3ta niyechilam 1ta fete gece 😭😭😭 seller er uchit alada alada wrap kore tarpor ekshate pack kora. baki thik ache, prod original mone hocche. brahmonbaria er delivery man gulo professional na, beshirbhag kharap. order taratari esheche bt delivery te 10 er moddhe 2 dibo shudu fast peyechi tai 🙂🙂",293,0
bhai phone ta 1st din e hang korlo!! restart korleo thik hoy na. total bekar product,84,0
"It's a Good product according to pricing and usage.
Good smell and cleansing is very to the poin.",97,1
location onujayi delivery deoa hoy na keno?,43,0
"charging nite boro time lage + full charge e 1 ghontao backup dey na!! totally useless, waste of money",102,0
khob baje jinis!! 1ta o kaje lagena 😡,37,0
prod quality motamuti valo bt pkg eto baje keno!! onek prod powder pore gece bottle venge!! eto faltu pkg korle byabsha na korai valo. manush thokano dhandha 😡,159,0
prothombar eto baje packaging pailam!! packet fete powder puro box er moddhe chhorie gece 😡,91,0
Asha kori valo hobe....akhono use korini...gotokalke haate paisi matro..dekhe valoi lagtese...r packaging khub valo chilo..,123,0
"alhamdulillah i m satisfied i recommended everyone, thanks seller and daraz.",76,1
khubi baje!! jeta order diyechi seta na diye onyota diyeche 😡,61,0
charge kom take onek,20,0
the product is good. I ordered black but they give me blue,58,0
"jodio duplicate powder bt use korle thik ache, nite paren",57,0
jani na kmn hoby used korar por bujty parbo but packed onk valo chilo,69,1
ekdom aaje prod!! faltu 😡 onek chhoto + beat box 4 din er moddhe nosto hoye gece,80,0
Shudhu shudhu internet package nosto korlam ei product ta khojar jonno.,71,0
Alhamdulillah valo,18,1
"deoar kothachilo jeta, diyeche onyota!! batpar seller 😡 daraz k bolbo ei shob batpar seller ber kore dite. MC seller 😤",118,0
jacket ta dekhte exactly pic er moto!! warm o boro. winter perfect,66,1
"its good
and smooth",19,1
"ki bolbo bujhte i pachhi na!! erokom vanga, nut-screw boro nakta box pabo asha korinai. othero review dekhe niyechilam, jotobar daraz theke kinchi totobar dhoka kheyechi 😤",171,0
Daraz Theke Nilam Khub Valo Akti Products..!❤️‍🩹🧡,49,1
product ta onek Valo😽 . eta use Kore Ami satisfied 🐣 r eta amr billu DER o  Valo lagse 😺😺,89,1
Amar jibone erom bekar product kinini.,38,0
"batparir ekta limit thaka uchit. 300 taka moolyo 2 packet 72% discount e 95 taka likhe offer likhchen, jekhane coil er gaye moolyo likha 70 taka.",145,0
Gift deyar moto na. Ami lajja pabo.,35,0
Jal product beche Daraz. Shame!,31,0
Rong uthe geche. 1 day use. Horrible.,37,0
"khuboi baje. headphone er sound kom, charge theke na ek ghontao.",64,0
motamuti valoi ache🙂,20,1
packet ager thke chra chlo,26,0
"hatey pailam, babohaar kore bujha jabe ki rokom.",48,1
amr bisshash shob sesh,22,0
R konodin Daraz theke kichu kinte iccha korbe na.,49,0
Alhamdulillah...,16,1
ashol e sottyi khub valo ekti product. ami khub shontusto. chaile sabai nite paren.,83,1
"Products packing onk valo cilo and products ta o asa kori onk valo and original hobe..❤️
Thanks Saller...",105,1
"products perfect ✅ 
Delivery time and delivery man r behavior 10/10

but black colour order korechilam black colour dey ni
even message r response nei seller r ❌",161,1
"Wrong color, wrong size pathiyeche.",35,0
"ayan's Enterprise BD,,,,,,,,, chat bar bar bollam je black colour dite o dise amre  or nanir sawwa colour",105,1
Sound quality isn't as good as I expected. I have to use a equalizer for a better experience.,93,1
shaif.,6,0
"Bazar Je Balti / Boll Diye Extra and Somoy powder Pawya jai, Ogular Teke Better, Sei Hisabe Onek Kom A Peyechi Alhamdulillah, Sobai Nite Paren insha'Allah",154,1
"pkg thikthak chilo, packet intact bt prob ta hocche mone hoy prod ta karo return kora!! amar order label chara aro ekta label ache, tai artho chhera, age o tape mara er dag ache. major prob na, prod thik thakle e hobe",217,0
"daraz flash sale e order korsi, 5 din pore cancel kore dilo!! no stock thakle sale dey keno?? 😡 taka hold e chilo 5 din",119,0
Product ta kaj kore na. Non-functional.,39,0
The product is delivered in good condition. The quality of the product is good as well.,87,1
"product ti Valo
thanks saller",29,1
Daraz lost its charm.,21,0
ei dam a emon quality product packaging best 🥰♥️,48,1
cycle helmet child er size e fit kore nai. size chart misleading,64,0
"facewash ta eto valo na... 
use korar por kono change nai..pimple o jay na",74,0
"2nd time purchase 
product valo silo & delivery o peyesi onk fast 
recommended 💯",80,1
