review,character_count,label
Good product and discount a onk kome pelam,42,1
shampoo use kore hair feel korchi soft!! boro recommend korbo,61,1
"Packaging purai khola, security nai.",36,0
"amar jonno 3kg order korsi, pore valo mone korle neighbors er jonno o order dibo vabchilam. bt pkg eto chhera r tape lagano dekhle khub hatash holam!! asha kori valo pkg e valo prod pathaben inshaAllah",201,0
thanks daraz. brash ta onk soft❤️. sobai nite paren😊,52,1
"daras sob chor dia vora,sob batpar daras a",42,0
packet er obostha valo chilo na!! tai prod ta return korechhi. ekhon amar taka kobe pabo othoba prod abar kobe pabo?? 😤,119,0
ha thik Thak paychi Janina vitore ki ache use kora hoyni dekhte to valoi but gate up kalo color diyece,102,1
Return system pura headache. Ami ar parchi na.,46,0
bhai khubi baje kaj hoise amar shate!! jinis ta copy chilo 😤,60,0
sound jemon asha korchilam daam onujayi temon ashanurup painai 😒,64,0
"Device overheat hoy, use kora risky.",36,0
"Ekhon theke shop e giye kinbo, online er upor trust hariye geche.",65,0
"Packaging normal poly, kono safety nai.",39,0
"Jeta order korchilam, sheta naki stock e chilo na, taage ekta onno jinish pathiye dise. E ki osommob dhristhota!",112,0
Daraz er service din din bekar hocche.,38,0
mota muti onek valo.,20,1
"Waterproof bole becheche, pani porle e bekar hoye jay.",54,0
"babohaar kori nai, kore dekhte hobe.",36,0
Alhamdulillah 2 ta order disilam 2 tai paici Alhamdulillah. product quality super🔥 sayle apnaraw nite paren. price hisabe onk vlo quality'r product eta..tnq u daraz,164,1
rice quality ektu niche average. cooking e time beshi lagce,59,0
Daraz ar ageer moto nai. Khub bekar.,36,0
Ami frustrated. Money waste. Kono kajer na ei jinish.,53,0
Seller kono response kore na. Daraz CS o useless.,49,0
Colour totally different. Amar choice chilo na.,47,1
"4 more time I brought  this product. Quality is good.when this product finish my home , I will buy this product. Thanks seller & thanks daraz fore offer price rate product.",172,1
very good sound and battery quality.  and delivery was really quick. packaging was really good. there’s no way to be damaged,124,1
"anar por 1 ghonta kaj korse er por ses ar kaj e kore na
kew nite chyle nij bayette niben build quality o khub bhalo na sohoje e nosto hoe jete pare",147,0
order disi black asche blue....packeting man temon valo na,58,0
"koyek din babohaar korlam, ekhon ekta cholei na🙂 fawl jinish🙂",61,0
"khub e soft brush ta, amr baby akhon daily brush kore,, karon aita dile dat brush korle onk vlo lage,,, khub e norom aita,,, jeshob baby er notun dat tader jonno best,,, 😍😍😍😍thanks for daraz,,, amon onek jinis ase ja hat ar kase pawa jay na,, daraz segulo khub kom a dam a basar kase diye jacce,,, seller vai kew tnx, shob gulo products vlo silo",345,1
mone hochhe valoi hobe. tobe babohaar korle bujha jabe er quality.,66,1
Thanks for the 5-star! 😊 Amader store-e regular offer chole – abar nite ashben! 🛒,81,1
Offline kinbo ekhon theke. Online e trust nai.,46,0
Valo ache,9,1
amr jiboner shbcheye khrp prdct.....,36,0
Product chobi theke pura alada.,31,0
onk valo alhamdulillah.... pakeing o valo cilo,46,1
product vlo delivery o time motoi cilo..,40,1
"batparir ekta limit thaka uchit. 300 taka moolyo 2 packet 72% discount e 95 taka likhe offer likhchen, jekhane coil er gaye moolyo likha 70 taka.",145,0
